4,'222-222-222-222',1026,'04-JAN-09',3.18,2882,1027,'1111-1111-2222-1111',3,'13-MAR-10',3,'13-MAR-10',      
8,'222-222-222-222',1026,'04-JAN-09',3.18,4438,1027,'3333-4444-5555-6666',3,'13-MAR-10',3,'13-MAR-10',      
12,'222-222-222-222',1026,'04-JAN-09',3.18,5689,1027,'1111-2222-3333-4444',3,'13-MAR-10',3,'13-MAR-10',     
16,'222-222-222-222',1026,'05-JAN-09',3.18,3186,1027,'1111-2222-1111-1111',3,'13-MAR-10',3,'13-MAR-10',     
20,'222-222-222-222',1026,'06-JAN-09',6.36,1302,1027,'6011 0000 0000 0078',3,'13-MAR-10',3,'13-MAR-10',     
24,'222-222-222-222',1026,'06-JAN-09',6.36,2881,1027,'1111-1111-2222-1111',3,'13-MAR-10',3,'13-MAR-10',     
28,'222-222-222-222',1026,'06-JAN-09',3.18,4137,1027,'3333-4444-5555-6666',3,'13-MAR-10',3,'13-MAR-10',     
32,'222-222-222-222',1026,'06-JAN-09',3.18,5389,1027,'1111-2222-3333-4444',3,'13-MAR-10',3,'13-MAR-10',     
36,'222-222-222-222',1026,'07-JAN-09',3.18,2240,1027,'1111-1111-3333-1111',3,'13-MAR-10',3,'13-MAR-10',     
40,'222-222-222-222',1026,'07-JAN-09',3.18,3512,1027,'1111-1111-1111-1111',3,'13-MAR-10',3,'13-MAR-10',     
44,'222-222-222-222',1026,'07-JAN-09',3.18,5065,1027,'2222-3333-4444-5555',3,'13-MAR-10',3,'13-MAR-10',     
48,'222-222-222-222',1026,'08-JAN-09',3.18,2239,1027,'1111-1111-3333-1111',3,'13-MAR-10',3,'13-MAR-10',     
52,'222-222-222-222',1026,'08-JAN-09',3.18,4435,1027,'3333-4444-5555-6666',3,'13-MAR-10',3,'13-MAR-10',     
56,'222-222-222-222',1026,'09-JAN-09',3.18,1299,1027,'6011 0000 0000 0078',3,'13-MAR-10',3,'13-MAR-10',     
60,'222-222-222-222',1026,'09-JAN-09',6.36,2560,1027,'1111-1111-1111-2222',3,'13-MAR-10',3,'13-MAR-10',     
64,'222-222-222-222',1026,'09-JAN-09',6.36,3820,1027,'3333-4444-5555-6666',3,'13-MAR-10',3,'13-MAR-10',     
68,'222-222-222-222',1026,'09-JAN-09',6.36,5063,1027,'2222-3333-4444-5555',3,'13-MAR-10',3,'13-MAR-10',     
72,'222-222-222-222',1026,'10-JAN-09',9.54,1620,1027,'6011 0000 0000 0078',3,'13-MAR-10',3,'13-MAR-10',     
76,'222-222-222-222',1026,'10-JAN-09',3.18,2877,1027,'1111-1111-2222-1111',3,'13-MAR-10',3,'13-MAR-10',     
80,'222-222-222-222',1026,'10-JAN-09',9.54,4133,1027,'3333-4444-5555-6666',3,'13-MAR-10',3,'13-MAR-10',     
84,'222-222-222-222',1026,'10-JAN-09',3.18,5685,1027,'1111-2222-3333-4444',3,'13-MAR-10',3,'13-MAR-10',     
88,'222-222-222-222',1026,'11-JAN-09',12.72,2236,1027,'1111-1111-3333-1111',3,'13-MAR-10',3,'13-MAR-10',    
92,'222-222-222-222',1026,'11-JAN-09',9.54,3509,1027,'1111-1111-1111-1111',3,'13-MAR-10',3,'13-MAR-10',     
96,'222-222-222-222',1026,'11-JAN-09',9.54,4739,1027,'2222-3333-4444-5555',3,'13-MAR-10',3,'13-MAR-10',     
100,'222-222-222-222',1026,'12-JAN-09',9.54,1618,1027,'6011 0000 0000 0078',3,'13-MAR-10',3,'13-MAR-10',    
