SJC-000001,Randi,,Winn,2009-11-14,2009-11-17,3-DAY RENTAL,DEBIT,3.18,2009-11-14,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-11-21,2009-11-24,3-DAY RENTAL,DEBIT,3.18,2009-11-21,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-12-22,2009-12-25,3-DAY RENTAL,DEBIT,3.18,2009-12-22,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-12-19,2009-12-22,3-DAY RENTAL,DEBIT,3.18,2009-12-19,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-03-27,2009-03-30,3-DAY RENTAL,DEBIT,3.18,2009-03-27,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-10-23,2009-10-26,3-DAY RENTAL,DEBIT,3.18,2009-10-23,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-01-09,2009-01-12,3-DAY RENTAL,DEBIT,3.18,2009-01-09,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-02-02,2009-02-05,3-DAY RENTAL,DEBIT,3.18,2009-02-02,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-02-28,2009-03-03,3-DAY RENTAL,DEBIT,3.18,2009-02-28,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-02-27,2009-03-02,3-DAY RENTAL,DEBIT,3.18,2009-02-27,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-03-15,2009-03-18,3-DAY RENTAL,DEBIT,3.18,2009-03-15,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-03-30,2009-04-02,3-DAY RENTAL,DEBIT,3.18,2009-03-30,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-04-28,2009-05-01,3-DAY RENTAL,DEBIT,3.18,2009-04-28,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-05-01,2009-05-04,3-DAY RENTAL,DEBIT,3.18,2009-05-01,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-01-13,2009-01-16,3-DAY RENTAL,DEBIT,3.18,2009-01-13,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-02-09,2009-02-12,3-DAY RENTAL,DEBIT,3.18,2009-02-09,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-02-21,2009-02-24,3-DAY RENTAL,DEBIT,3.18,2009-02-21,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-03-09,2009-03-12,3-DAY RENTAL,DEBIT,3.18,2009-03-09,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-03-13,2009-03-16,3-DAY RENTAL,DEBIT,3.18,2009-03-13,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-04-10,2009-04-13,3-DAY RENTAL,DEBIT,3.18,2009-04-10,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-04-27,2009-04-30,3-DAY RENTAL,DEBIT,3.18,2009-04-27,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-05-05,2009-05-08,3-DAY RENTAL,DEBIT,3.18,2009-05-05,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-06-11,2009-06-14,3-DAY RENTAL,DEBIT,3.18,2009-06-11,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-07-03,2009-07-06,3-DAY RENTAL,DEBIT,3.18,2009-07-03,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-07-16,2009-07-19,3-DAY RENTAL,DEBIT,3.18,2009-07-16,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-08-09,2009-08-12,3-DAY RENTAL,DEBIT,3.18,2009-08-09,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-08-19,2009-08-22,3-DAY RENTAL,DEBIT,3.18,2009-08-19,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-09-15,2009-09-18,3-DAY RENTAL,DEBIT,3.18,2009-09-15,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-09-20,2009-09-23,3-DAY RENTAL,DEBIT,3.18,2009-09-20,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-10-11,2009-10-14,3-DAY RENTAL,DEBIT,3.18,2009-10-11,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-10-14,2009-10-17,3-DAY RENTAL,DEBIT,3.18,2009-10-14,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-11-08,2009-11-11,3-DAY RENTAL,DEBIT,3.18,2009-11-08,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-11-16,2009-11-19,3-DAY RENTAL,DEBIT,3.18,2009-11-16,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-11-27,2009-11-30,3-DAY RENTAL,DEBIT,3.18,2009-11-27,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-12-19,2009-12-22,3-DAY RENTAL,DEBIT,3.18,2009-12-19,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-12-25,2009-12-28,3-DAY RENTAL,DEBIT,3.18,2009-12-25,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-03-22,2009-03-25,3-DAY RENTAL,DEBIT,3.18,2009-03-22,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-10-24,2009-10-27,3-DAY RENTAL,DEBIT,3.18,2009-10-24,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-01-25,2009-01-28,3-DAY RENTAL,DEBIT,3.18,2009-01-25,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-01-25,2009-01-28,3-DAY RENTAL,DEBIT,3.18,2009-01-25,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-03-05,2009-03-08,3-DAY RENTAL,DEBIT,3.18,2009-03-05,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-03-08,2009-03-11,3-DAY RENTAL,DEBIT,3.18,2009-03-08,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-03-14,2009-03-17,3-DAY RENTAL,DEBIT,3.18,2009-03-14,1,DISCOVER_CARD,111-111-111-111,                                      
SJC-000001,Randi,,Winn,2009-04-07,2009-04-10,3-DAY RENTAL,DEBIT,3.18,2009-04-07,1,DISCOVER_CARD,111-111-111-111,                                      
